Views,Likes,Shares,Comments,Like_Rate,Comment_Rate,Total_Engagement_wo_Shares,Engagement_Rate_wo_Shares,Views_norm,Platform_TikTok,Platform_Twitter,Platform_YouTube,Hashtag_#Comedy,Hashtag_#Dance,Hashtag_#Education,Hashtag_#Fashion,Hashtag_#Fitness,Hashtag_#Gaming,Hashtag_#Music,Hashtag_#Tech,Hashtag_#Viral,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Region_Brazil,Region_Canada,Region_Germany,Region_India,Region_Japan,Region_UK,Region_USA
0.8313463266502605,0.6786529497509171,0.5312231050977724,0.3867533766883442,0.08178482305945257,0.005898319911157353,0.6561314559502235,0.0675241166460829,0.8038487395608586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.829828381855516,0.4299884668983966,0.6585673398314753,0.5446923461730866,0.051897372215733206,0.008328060097389647,0.4428016934602205,0.04563000075023452,0.8301555685493069,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7310270014215097,0.654048999663618,0.39400156115525486,0.7244622311155579,0.08953008839879598,0.012564383801381912,0.6645492299451901,0.07770457183557125,0.7064238433259871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17657365724225504,0.2535580419356389,0.11643616276044273,0.736128064032016,0.13903821025293273,0.05105002573819447,0.29871816507568477,0.1402310060830013,0.17114537436549165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2584052864182676,0.27189287030066156,0.8699137361647619,0.9426913456728364,0.10333428961055403,0.04533336299480727,0.33445105621143306,0.10875181711795683,0.25870380573166446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11792215872570108,0.1674522257284275,0.9799351520124892,0.6529264632316159,0.13464246557828094,0.06627713847362422,0.212207148045697,0.14619609404771156,0.11430332967619505,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.40836790269013545,0.6347450703999744,0.4520345055340952,0.6727363681840921,0.15424158468605761,0.02070906242003038,0.6421226217816552,0.1333898227981664,0.39578854959061366,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4290746145320013,0.9923032564993833,0.9606008446250225,0.6034217108554277,0.22966983186774076,0.017694723396402132,0.963337099839312,0.19057078210162923,0.41463180775337083,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7778672189693873,0.01630652421150427,0.6937733923103097,0.8540670335167584,0.0020673203428964505,0.013931101842228873,0.09217728503400861,0.010085601688438889,0.7521385053010584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8125572205066998,0.7596709862403691,0.45994035586333887,0.5047323661830916,0.09365161617686411,0.007878732048776475,0.7411695001063916,0.07803640379232912,0.812883540734021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
